subject,prefix,author_prefix,dcterms:creator,author_last_first,rdfs:label,dcterms:title,schema:encodingFormat,schema:bookFormat
Catch_Me_If_You_Can,authors,:,Frank_Abagnale,"Abagnale, Frank W.",Frank W. Abagnale,Catch Me If You Can,mobi,schema:Ebook
Flatland,authors,:,Edwin_Abbott,"Abbot, Edwin",Edwin Abbot,Flatland,mobi,schema:Ebook
Before_They_Are_Hanged,authors,:,Joe_Abercrombie,"Abercrombie, Joe",Joe Abercrombie,Before They Are Hanged,mobi,schema:Ebook
Last_Argument_of_Kings,authors,:,Joe_Abercrombie,"Abercrombie, Joe",Joe Abercrombie,Last Argument of Kings,mobi,schema:Ebook
Blade_Itself,authors,:,Joe_Abercrombie,"Abercrombie, Joe",Joe Abercrombie,The Blade Itself,mobi,schema:Ebook
Things_Fall_Apart,authors,:,Chinua_Achebe,"Achebe, Chinua",Chinua Achebe,Things Fall Apart,mobi,schema:Ebook
Dirk_Gently_01,authors,:,Douglas_Adams,"Adams, Douglas",Douglas Adams,Dirk Gently 01 - Dirk Gently's Holistic Detective Agency,mobi,schema:Ebook
Dirk_Gently_02,authors,:,Douglas_Adams,"Adams, Douglas",Douglas Adams,Dirk Gently 02 - The Long Dark Tea-Time of the Soul,mobi,schema:Ebook
Hitchhiker_01,authors,:,Douglas_Adams,"Adams, Douglas",Douglas Adams,Hitchhiker 01 - The Hitchhiker's Guide to the Galaxy,mobi,schema:Ebook
Hitchhiker_02,authors,:,Douglas_Adams,"Adams, Douglas",Douglas Adams,Hitchhiker 02 - The Restaurant at the End of the Universe,mobi,schema:Ebook
Hitchhiker_03,authors,:,Douglas_Adams,"Adams, Douglas",Douglas Adams,"Hitchhiker 03 - Life, the Universe and Everything",mobi,schema:Ebook
Hitchhiker_04,authors,:,Douglas_Adams,"Adams, Douglas",Douglas Adams,"Hitchhiker 04 - So Long, and Thanks For All the Fish",mobi,schema:Ebook
Hitchhiker_05,authors,:,Douglas_Adams,"Adams, Douglas",Douglas Adams,Hitchhiker 05 - Mostly Harmless,mobi,schema:Ebook
Last_Chance_to_See,authors,:,Douglas_Adams,"Adams, Douglas",Douglas Adams,Last Chance to See,mobi,schema:Ebook
Ultimate_Hitchhikers_Guide,authors,:,Douglas_Adams,"Adams, Douglas",Douglas Adams,The Ultimate Hitchhiker's Guide to the Galaxy,mobi,schema:Ebook
Living_Dead,authors,:,John_Joseph_Adams,"Adams, John Joseph",John Joseph Adams,The Living Dead,mobi,schema:Ebook
Living_Dead_2,authors,:,John_Joseph_Adams,"Adams, John Joseph",John Joseph Adams,The Living Dead 2,mobi,schema:Ebook
Shardik,authors,:,Richard_Adams,"Adams, Richard",Richard Adams,Shardik,mobi,schema:Ebook
Watership_Down,authors,:,Richard_Adams,"Adams, Richard",Richard Adams,Watership Down,mobi,schema:Ebook
