name
Alan Alexander Milne
A.C. Bhaktivedanta Swami Prabhupāda
A.J. Verdelle
American Medical Association
Antonia Susan Byatt
AT&T
Alfred Vogel
Adam Kadmon
Adelle Davis
Adriana Trigiani
Al Di Meola
Alafair Burke
Alan Davidson
Alan Duff
Alan Watts
Albert Camus
Albert Einstein
Aldo Leopold
Aldous Huxley
Alexander McCall Smith
Alfalfa's
Alfredo Véa
Alice Hoffman
Alice Walker
Alicia Bay Laurel
Allan Hunt Badiner
Ana Castillo
Andre Dubus
Andrea Barrett
Andrea Dodi
Andres Segovia
Andrew Boyd
Angelo M. Pellegrini
Anita Shreve
Ann Dunnigan
Ann Patchett
Anna Thomas
Anne Cameron
Anne Kent Rush
Anne Tyler
Annie Hawes
Anthony Bourdain
Anthony Burgess
Anthony Doerr
Anton Pavlovich Chekhov
"Apple Computer, Inc"
April Sinclair
Ardythe Ashley
Argie Ligeros
Ariel Dorfman
Arthur Jacobs
Arthur Winfield Knight
Arturo Pérez-Reverte
Arundhati Roy
Audrey Niffenegger
Auguste Escoffier
Austin Sicard
Aveline Kushi
Avery_Publishing Group
Ayn Rand
Ayya Khema
Barbara J. Ciletti
Barbara G. Gibson
Barbara Kingsolver
Barbara Seels
Barney Hoskyns
Barry Galbraith
Barry Gifford
Barry Lopez
Batdorf Bronson
Beatrice Trum Hunter
Becky Ohlsen
Benjamin Hoff
Betty Edwards
Betty Wason
Bill Griffith
Bill Morris
Bill Watterson
Björn Kjellström
Black Elk
Blue Ribbon Malt
Bob Dylan
Bob Marley
Brad Hansen
Brad Leithauser
Bradford Morrow
Bradley Denton
Brett Helquist
Brewster Ghiselin
Brian Moore
Brooks Hansen
Bruce Chatwin
Bruce Shlain
Bruno Nettl
Bryan Thomas
C.G. Jung
Clive Staples Lewis
Camilla Läckberg
Camille Paglia
Carl Bode
Carl Elliot
Carl Forest
Carl Hiaasen
Carlos Castaneda
Carol Brightman
Cathleen Schine
Cerridwen Fallingstar
Chad Hautmann
Charles H. Baker Jr.
Charles Bukowski
Charles Frazier
Charles Larson
Charles Scribner's Sons
Charlie Smith
Chinua Achebe
Chögyam Trungpa
Chris Bohjalian
Chris Duff
Christian Teubner
Christopher Moore
Christopher Parkening
Clarence Major
Clifton Fadiman
Clive Cussler
Clysta Kinstler
America's Test Kitchen
Collins Publishing
Connie May Fowler
Cormac McCarthy
Crab Searl
Craig Claiborne
Craig Johnson
Creative Publishing International
D. M. Dooling
Dan Eldon
Dan Haerle
Dan Homeres
Dan Millman
Dan O'Brien
Daniel Mathews
Daniel Quinn
Danny Elfman
Dany Laferrière
Darby Conley
Dashka Slater
Dave DeWitt
Dave Eggers
Dave Miller
David Arnason
David Owen Case
David Downing
David Gans
David Gibbons
David Guterson
David Haynes
David Hoffmann
David Miles Huber
David James Duncan
David Lamb
David Rains Wallace
David Seals
David Sibley
David Smith-Ferri
David Stanley
Deborah Madison
DeLorme Mapping Company
Deepak Chopra
Denise Chávez
Derek Hansen
Dermot Bolger
Diane Seed
Dick Francis
Dominic Behan
Don Miguel Ruiz
Donald Miller
Donald Culcross Peattie
Donna Andrews
Dorothy Dunnett
Douglas Bauer
Dr. Seuss
E.R. LaChapelle
East Coast Books
Earl Shorris
Edward Abbey
Edward Esko
Edward Rice
Edwidge Danticat
Eliot Asinof
Elisabeth Hyde
Elise Juska
Elizabeth Arthur
Elizabeth Berg
Elizabeth Cunningham
Elizabeth David
Ellen Buchman Ewald
Elliot Perlman
Elmore Leonard
Elsbeth S. Woody
Elson Haas
Emily Dodi
Emmett Grogan
Eoin Colfer
Eric Clapton
Eric Goodman
Eric Schlosser
Ernest Callenbach
Esther S. Grassian
Evan S. Connell
Fitness Swimmer
Floyd Stephen Shuttleworth
Forrest Carter
Frances Moore Lappé
Francis O'Neill
Franco Ferrero
Frank MacEowen
Frank Waters
"Fred T. Darvill, Jr."
Frederic H. Sonnenschmidt
"Frederick Copleston, S.J."
Frederick Forsyth
Frederick Franck
Friedrick Nietzsche
Fyodor Dostoevsky
Gail Anderson-Dargatz
Garrsion Keillor
Garry Trudeau
Gary Davis
Gary Meisner
Gary Snyder
George Crile
George Petrides
Gia-fu Feng
Gilbert Shelton
Ginny Callan
Gino Sky
Glenn Day
Gloria Naylor
Goldberry Long
Gorham Kindem
Gordon Parks
Graeme Base
Greg Garrett
Günter Grass
Gwen Diehn
H.A. VanderCook
Haare Williams
Hal Leonard Corporation
Hank Harrison
Hannah Hinchman
Harold McGee
Harry F. Olson
Heather Cheney
Helen Campbell
Helen DeWitt
Helene Tursten
Henning Mankell
Henry David Thoreau
Hermann Hesse
Holly George-Warren
Home Depot
Howard R. Wallach
Hugh E. Williams
Hunter S. Thompson
Irma S. Rombauer
Irvin D. Yalom
Isabel Allende
Ivan Doig
Izaak Walton
Jerome David Salinger
J.J. Henderson
J.K. Rowling
J. R. H. Andrews
J. Robert Lennon
J Tom Burgess
Jabari Asim
Jack Hodgins
Jack Kerouac
Jacqueline Grennon Brooks
James Beard
James Crumley
James Ellroy
James Ensor
James Kelman
James Lee Burke
James Major
James McBride
James H. McMillan
James Patterson
Jan Kerouac
Jana Fayne Kolpen
Jane Coleman Helmer
Jane English
Jane McGonigal
Jane Rule
Jane S. Smith
Jane Urquhart
Jaroslav Pelikan
Jean Hewitt
Jean-Paul Sartre
Jean Smith
Jean Vaysse
Jean Zallinger
Jeff Shapiro
Jeff Smith
Jen Sincero
Jennifer Egan
Jerry Coker
Jerry Garcia
Jessica Maxwell
Jiawei Han
Jill Ker Conway
Jim Carroll
Jim Dodge
Jim DuFresne
Jim Harrison
Jim Webb
Jimella Lucas
Jimmy McDonough
Jingxiong Wu
Jo-Ann Mapson
Joanna Rose
Joanne Harris
Jodi Picoult
Joe Coomer
John Barth
John Brimhall
John Burdett
John Casey
John Clellon Holmes
John Crowley
John Dufresne
John Kennedy Toole
John Klemmer
John Lescroart
John Lewis
John Lust
John McPhee
John Hanson Mitchell
John G. Neihardt
John Robbins
John W. Scott
John Steinbeck
John Stephenson
John Straley
John Thorne
John Watkinson
John Wiessinger
Jon Hassler
Jonathan Cott
Jonathan Raban
Joni Rodgers
Jorge Amado
Joseph Campbell
Joseph Conrad
Joseph Heller
Joseph Sheban
Joshua Piven
Josquin Des Pres
Jostein Gaarder
Judy Fong Bates
Judy Jewell
Julee Rosso
Julia Alvarez
Jun'ichirō Tanizaki
Kahlil Gibrán
Karen Betteridge
Karen C. Knox
Karl Marlantes
Kate Atkinson
Katherine Neville
Kathleen Tyau
Kathryn Stern
Kathryn Thompson
Kazuko Masui
