author,title,copies
http://www.connaissance.io/onto/biblio/authors#Frederick_Copleston,A History of Philosophy,3
http://www.connaissance.io/onto/biblio/authors#Jane_English,Tao Te Ching,3
http://www.connaissance.io/onto/biblio/authors#AA_Milne,Winnie the Pooh,2
http://www.connaissance.io/onto/biblio/authors#Alan_Duff,Once Were Warriors,2
http://www.connaissance.io/onto/biblio/authors#Ardythe_Ashley,In the Country of the Great King,2
http://www.connaissance.io/onto/biblio/authors#Arundhati_Roy,The God of Small Things,2
http://www.connaissance.io/onto/biblio/authors#Barbara_Kingsolver,Poisonwood Bible,2
http://www.connaissance.io/onto/biblio/authors#Carl_Bode,Selected Journals of Henry David Thoreau,2
http://www.connaissance.io/onto/biblio/authors#Edward_Abbey,The Monkey Wrench Gang,2
http://www.connaissance.io/onto/biblio/authors#Frances_Moore_Lappe,Diet for a Small Planet,2
http://www.connaissance.io/onto/biblio/authors#Frederic_Sonnenschmidt,The Professional Chef's Art of Garde Manger,2
http://www.connaissance.io/onto/biblio/authors#Giafu_Feng,Tao Te Ching,2
http://www.connaissance.io/onto/biblio/authors#Hunter_S_Thompson,Fear and loathing : on the campaign trail '72,2
http://www.connaissance.io/onto/biblio/authors#Hunter_S_Thompson,Hell's Angels : a strange and terrible saga,2
http://www.connaissance.io/onto/biblio/authors#JD_Salinger,The Catcher in the Rye,2
http://www.connaissance.io/onto/biblio/authors#Jingxiong_Wu,Tao Te Ching,2
http://www.connaissance.io/onto/biblio/authors#Jostein_Gaarder,Sophie's world : a novel about the history of philosophy,2
http://www.connaissance.io/onto/biblio/authors#Lois-Ann_Yamanaka,Wild Meat and the Bully Burgers : [a novel],2
http://www.connaissance.io/onto/biblio/authors#Sharon_Tyler_Herbst,The New Food Lover's Companion,2
http://www.connaissance.io/onto/biblio/authors#Terry_Farish,A House in Earnest : a novel,2
http://www.connaissance.io/onto/biblio/authors#Tom_Robbins,Another Roadside Attraction,2
http://www.connaissance.io/onto/biblio/authors#Troy_Soos,Murder at Wrigley Field,2
http://www.connaissance.io/onto/biblio/authors#AA_Milne,The House at Pooh Corner,1
http://www.connaissance.io/onto/biblio/authors#AC_Bhaktivedanta_Swami,The Higher Taste : a guide to gourmet vegetarian cooking and a karma-free diet,1
http://www.connaissance.io/onto/biblio/authors#AJ_Verdelle,The Good Negress,1
http://www.connaissance.io/onto/biblio/authors#AMA,The American Medical Association guide to your family's symptoms,1
http://www.connaissance.io/onto/biblio/authors#APA_PRess,The Pacific Northwest,1
http://www.connaissance.io/onto/biblio/authors#AS_Byatt,Possession : a romance,1
